order_id,customer_id,channel_id,store_id,order_date,billing_address_id,shipping_address_id,status,currency_code,subtotal,tax_amount,shipping_fee,total_amount
1000000000,356,1,,2024-11-26 07:50:47,2910.0,1595,FULFILLED,ARS,51600.0,10836.0,1200.0,63636.0
1000000001,601,1,,2024-01-31 01:00:04,3803.0,3534,CREATED,ARS,63840.0,13406.4,900.0,78146.4
1000000002,1234,1,,2025-02-26 19:39:44,1126.0,4063,FULFILLED,ARS,25260.0,5304.6,1500.0,32064.6
1000000003,156,1,,2025-03-01 17:35:36,3665.0,1507,FULFILLED,ARS,25500.0,5355.0,0.0,30855.0
1000000004,616,2,4.0,2024-03-30 02:46:36,1293.0,4,FULFILLED,ARS,44175.0,9276.75,0.0,53451.75
1000000005,614,2,2.0,2024-03-12 20:54:35,1723.0,2,FULFILLED,ARS,24000.0,5040.0,0.0,29040.0
1000000006,188,1,,2025-07-15 22:55:56,1432.0,2148,REFUNDED,ARS,14250.0,2992.5,1200.0,18442.5
1000000007,17,1,,2024-11-11 20:15:00,,3577,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0
1000000008,1148,1,,2024-08-25 03:29:28,2018.0,1490,FULFILLED,ARS,89100.0,18711.0,1200.0,109011.0
1000000009,1037,1,,2024-03-30 10:34:46,1097.0,1974,PAID,ARS,12825.0,2693.25,1200.0,16718.25
1000000010,1336,2,1.0,2024-03-13 02:19:39,,1,REFUNDED,ARS,14700.0,3087.0,0.0,17787.0
1000000011,1239,2,4.0,2025-06-17 03:46:29,2159.0,4,FULFILLED,ARS,34140.0,7169.4,0.0,41309.4
1000000012,1426,2,3.0,2024-08-09 14:38:29,3389.0,3,FULFILLED,ARS,35280.0,7408.8,0.0,42688.8
1000000013,862,2,1.0,2025-03-23 11:26:14,1342.0,1,PAID,ARS,101887.5,21396.38,0.0,123283.88
1000000014,181,1,,2025-08-18 12:46:12,2238.0,3917,PAID,ARS,11760.0,2469.6,900.0,15129.6
1000000015,700,1,,2024-09-15 12:43:40,3268.0,1803,CANCELLED,ARS,23520.0,4939.2,1200.0,29659.2
1000000016,475,1,,2025-08-27 22:46:32,1585.0,3558,FULFILLED,ARS,22680.0,4762.8,1200.0,28642.8
1000000017,753,2,2.0,2025-02-19 14:36:04,3052.0,2,FULFILLED,ARS,66870.0,14042.7,0.0,80912.7
1000000018,1151,1,,2024-07-14 15:20:18,2712.0,2691,CANCELLED,ARS,81990.0,17217.9,900.0,100107.9
1000000019,793,1,,2025-04-21 04:12:18,2523.0,3612,FULFILLED,ARS,37044.0,7779.24,1200.0,46023.24
1000000020,866,1,,2024-05-06 01:36:24,3933.0,3374,FULFILLED,ARS,49500.0,10395.0,0.0,59895.0
1000000021,1110,1,,2025-09-23 22:05:51,3246.0,2545,FULFILLED,ARS,23520.0,4939.2,1200.0,29659.2
1000000022,854,2,1.0,2024-03-31 02:16:34,2462.0,1,REFUNDED,ARS,24000.0,5040.0,0.0,29040.0
1000000023,379,2,3.0,2025-07-05 19:42:57,3098.0,3,FULFILLED,ARS,68400.0,14364.0,0.0,82764.0
1000000024,441,2,2.0,2025-03-02 15:57:05,1528.0,2,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
1000000025,125,1,,2025-08-26 06:57:45,2981.0,1512,FULFILLED,ARS,70087.5,14718.38,1200.0,86005.88
1000000026,1201,1,,2024-12-12 23:59:48,4164.0,1297,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0
1000000027,1055,1,,2024-12-02 01:44:59,3321.0,2858,FULFILLED,ARS,22800.0,4788.0,900.0,28488.0
1000000028,382,1,,2024-05-17 06:11:07,1338.0,2419,FULFILLED,ARS,12000.0,2520.0,0.0,14520.0
1000000029,1456,1,,2025-09-14 02:43:49,1410.0,2421,FULFILLED,ARS,64740.0,13595.4,900.0,79235.4
1000000030,1377,2,4.0,2025-06-09 19:02:55,3581.0,4,PAID,ARS,34200.0,7182.0,0.0,41382.0
1000000031,1375,2,4.0,2025-05-10 11:15:07,1924.0,4,PAID,ARS,23520.0,4939.2,0.0,28459.2
1000000032,821,1,,2025-03-15 14:37:22,3181.0,1920,FULFILLED,ARS,27000.0,5670.0,1200.0,33870.0
1000000033,1475,2,4.0,2024-06-08 03:23:04,3312.0,4,FULFILLED,ARS,14700.0,3087.0,0.0,17787.0
1000000034,634,2,2.0,2024-11-17 01:24:31,2156.0,2,FULFILLED,ARS,85387.5,17931.38,0.0,103318.88
1000000035,585,2,1.0,2024-01-12 05:54:27,3436.0,1,FULFILLED,ARS,21600.0,4536.0,0.0,26136.0
1000000036,180,1,,2024-09-24 18:59:17,4138.0,2859,FULFILLED,ARS,49800.0,10458.0,900.0,61158.0
1000000037,482,1,,2024-01-26 00:07:55,2544.0,3321,FULFILLED,ARS,24696.0,5186.16,1200.0,31082.16
1000000038,620,2,1.0,2024-02-02 22:29:21,1303.0,1,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
1000000039,603,2,1.0,2024-05-23 04:42:33,4130.0,1,FULFILLED,ARS,59160.0,12423.6,0.0,71583.6
1000000040,1028,1,,2024-03-04 06:58:13,3284.0,2145,CANCELLED,ARS,11400.0,2394.0,1200.0,14994.0
1000000041,1005,2,3.0,2024-01-14 09:59:03,,3,FULFILLED,ARS,24510.0,5147.1,0.0,29657.1
1000000042,790,1,,2024-09-27 21:17:36,1738.0,1029,FULFILLED,ARS,10260.0,2154.6,1500.0,13914.6
1000000043,665,1,,2024-05-21 10:46:11,3226.0,3039,PAID,ARS,39600.0,8316.0,900.0,48816.0
1000000044,562,1,,2025-09-02 12:32:15,,2131,FULFILLED,ARS,73500.0,15435.0,1500.0,90435.0
1000000045,998,1,,2024-02-01 13:14:28,3026.0,2980,FULFILLED,ARS,36000.0,7560.0,900.0,44460.0
1000000046,276,1,,2024-01-12 03:01:18,,1489,FULFILLED,ARS,33000.0,6930.0,0.0,39930.0
1000000047,1469,2,2.0,2024-03-08 08:53:37,,2,FULFILLED,ARS,10800.0,2268.0,0.0,13068.0
1000000048,408,2,2.0,2024-09-13 16:10:57,3365.0,2,CREATED,ARS,23520.0,4939.2,0.0,28459.2
1000000049,1360,2,2.0,2024-08-11 19:35:54,1174.0,2,FULFILLED,ARS,40500.0,8505.0,0.0,49005.0
1000000050,1423,1,,2024-07-25 00:25:00,2103.0,1661,FULFILLED,ARS,28500.0,5985.0,1200.0,35685.0
1000000051,741,1,,2024-09-15 06:10:33,2340.0,2863,FULFILLED,ARS,30870.0,6482.7,900.0,38252.7
1000000052,969,1,,2024-11-04 03:12:44,,2608,FULFILLED,ARS,70560.0,14817.6,0.0,85377.6
1000000053,729,1,,2024-08-10 06:19:56,3595.0,1454,CANCELLED,ARS,27000.0,5670.0,900.0,33570.0
1000000054,251,2,4.0,2024-03-16 02:19:59,3465.0,4,PAID,ARS,12348.0,2593.08,0.0,14941.08
1000000055,1087,2,1.0,2025-07-23 20:26:45,3305.0,1,PAID,ARS,42750.0,8977.5,0.0,51727.5
1000000056,659,1,,2025-04-12 15:37:15,3446.0,2887,FULFILLED,ARS,71025.0,14915.25,1200.0,87140.25
