order_item_id,order_id,product_id,quantity,unit_price,discount_amount,line_total
5000000000,1000000000,2,2,15000.0,0.0,30000.0
5000000001,1000000000,1,2,12000.0,2400.0,21600.0
5000000002,1000000001,1,1,12000.0,240.0,11760.0
5000000003,1000000001,2,2,15000.0,600.0,29400.0
5000000004,1000000001,1,2,12600.0,2520.0,22680.0
5000000005,1000000002,1,1,12000.0,240.0,11760.0
5000000006,1000000002,2,1,15000.0,1500.0,13500.0
5000000007,1000000003,1,1,12000.0,1200.0,10800.0
5000000008,1000000003,2,1,15000.0,300.0,14700.0
5000000009,1000000004,2,2,15750.0,1575.0,29925.0
5000000010,1000000004,2,1,15000.0,750.0,14250.0
5000000011,1000000005,1,2,12000.0,0.0,24000.0
5000000012,1000000006,2,1,15000.0,750.0,14250.0
5000000013,1000000007,2,1,15000.0,1500.0,13500.0
5000000014,1000000008,1,3,12000.0,0.0,36000.0
5000000015,1000000008,2,3,15000.0,4500.0,40500.0
5000000016,1000000008,1,1,12600.0,0.0,12600.0
5000000017,1000000009,2,1,13500.0,675.0,12825.0
5000000018,1000000010,2,1,15000.0,300.0,14700.0
5000000019,1000000011,2,1,15000.0,300.0,14700.0
5000000020,1000000011,1,2,10800.0,2160.0,19440.0
5000000021,1000000012,1,3,12000.0,720.0,35280.0
5000000022,1000000013,2,3,15750.0,2362.5,44887.5
5000000023,1000000013,1,3,12000.0,1800.0,34200.0
5000000024,1000000013,1,2,12000.0,1200.0,22800.0
5000000025,1000000014,1,1,12000.0,240.0,11760.0
5000000026,1000000015,1,2,12000.0,480.0,23520.0
5000000027,1000000016,1,2,12600.0,2520.0,22680.0
5000000028,1000000017,2,2,15750.0,630.0,30870.0
5000000029,1000000017,1,3,12000.0,0.0,36000.0
5000000030,1000000018,2,1,13500.0,270.0,13230.0
5000000031,1000000018,1,2,13200.0,2640.0,23760.0
5000000032,1000000018,2,3,15000.0,0.0,45000.0
5000000033,1000000019,1,3,12600.0,756.0,37044.0
5000000034,1000000020,2,3,16500.0,0.0,49500.0
5000000035,1000000021,1,2,12000.0,480.0,23520.0
5000000036,1000000022,1,2,12000.0,0.0,24000.0
5000000037,1000000023,2,2,15000.0,600.0,29400.0
5000000038,1000000023,1,1,12000.0,0.0,12000.0
5000000039,1000000023,2,2,15000.0,3000.0,27000.0
5000000040,1000000024,1,1,12000.0,240.0,11760.0
5000000041,1000000025,2,3,15750.0,2362.5,44887.5
5000000042,1000000025,1,2,12600.0,0.0,25200.0
5000000043,1000000026,2,1,15000.0,1500.0,13500.0
5000000044,1000000027,1,2,12000.0,1200.0,22800.0
5000000045,1000000028,1,1,12000.0,0.0,12000.0
5000000046,1000000029,2,2,16500.0,660.0,32340.0
5000000047,1000000029,1,3,12000.0,3600.0,32400.0
5000000048,1000000030,1,3,12000.0,1800.0,34200.0
5000000049,1000000031,1,2,12000.0,480.0,23520.0
5000000050,1000000032,2,2,15000.0,3000.0,27000.0
5000000051,1000000033,2,1,15000.0,300.0,14700.0
5000000052,1000000034,2,3,15750.0,2362.5,44887.5
5000000053,1000000034,2,3,15000.0,4500.0,40500.0
5000000054,1000000035,1,2,12000.0,2400.0,21600.0
5000000055,1000000036,1,2,12000.0,1200.0,22800.0
5000000056,1000000036,2,2,15000.0,3000.0,27000.0
5000000057,1000000037,1,2,12600.0,504.0,24696.0
5000000058,1000000038,1,1,12000.0,240.0,11760.0
5000000059,1000000039,1,3,10800.0,3240.0,29160.0
5000000060,1000000039,2,2,15000.0,0.0,30000.0
5000000061,1000000040,1,1,12000.0,600.0,11400.0
5000000062,1000000041,2,1,15000.0,750.0,14250.0
5000000063,1000000041,1,1,10800.0,540.0,10260.0
5000000064,1000000042,1,1,10800.0,540.0,10260.0
5000000065,1000000043,1,3,13200.0,0.0,39600.0
5000000066,1000000044,2,2,15000.0,600.0,29400.0
5000000067,1000000044,2,3,15000.0,900.0,44100.0
5000000068,1000000045,1,3,12000.0,0.0,36000.0
5000000069,1000000046,2,2,16500.0,0.0,33000.0
5000000070,1000000047,1,1,12000.0,1200.0,10800.0
5000000071,1000000048,1,2,12000.0,480.0,23520.0
5000000072,1000000049,2,3,13500.0,0.0,40500.0
5000000073,1000000050,2,2,15000.0,1500.0,28500.0
5000000074,1000000051,2,2,15750.0,630.0,30870.0
5000000075,1000000052,1,3,12000.0,720.0,35280.0
5000000076,1000000052,1,3,12000.0,720.0,35280.0
5000000077,1000000053,2,2,15000.0,3000.0,27000.0
5000000078,1000000054,1,1,12600.0,252.0,12348.0
5000000079,1000000055,2,3,15000.0,2250.0,42750.0
5000000080,1000000056,1,2,12000.0,0.0,24000.0
5000000081,1000000056,2,3,16500.0,2475.0,47025.0
5000000082,1000000057,2,1,15000.0,750.0,14250.0
5000000083,1000000057,2,1,15750.0,1575.0,14175.0
5000000084,1000000058,2,1,16500.0,1650.0,14850.0
5000000085,1000000058,2,2,15000.0,1500.0,28500.0
5000000086,1000000059,1,3,12000.0,1800.0,34200.0
5000000087,1000000059,2,2,15000.0,0.0,30000.0
5000000088,1000000060,1,3,10800.0,3240.0,29160.0
5000000089,1000000061,1,1,12000.0,0.0,12000.0
5000000090,1000000062,2,3,15000.0,0.0,45000.0
5000000091,1000000063,1,3,12600.0,756.0,37044.0
5000000092,1000000064,2,1,16500.0,1650.0,14850.0
5000000093,1000000065,1,3,12000.0,720.0,35280.0
5000000094,1000000066,1,3,12000.0,720.0,35280.0
5000000095,1000000067,2,1,15000.0,300.0,14700.0
5000000096,1000000068,2,1,15750.0,315.0,15435.0
